,hot,episode,guzhuang,Bilibili,LeTV,Youku,multi,Sohu,Aiqy,Tencent,MangoTV,time,actor_con,actor_degree,director_con,director_degree
1054,55.31,30.0,0,0,0,0,0,0,0,0,1,9,0.3333333333333333,0.016574585635359115,0.045454545454545456,0.015246015246015246
1056,37.71,24.0,0,0,0,1,0,0,0,0,0,9,0.5,0.011049723756906077,0.25,0.002772002772002772
1067,45.11,25.311475409836067,0,0,0,0,0,0,1,0,0,9,0.14285714285714285,0.038674033149171276,0.06666666666666667,0.010395010395010396
1094,38.0,12.0,0,0,0,1,0,0,0,0,0,9,0.3333333333333333,0.016574585635359115,0.125,0.005544005544005544
1095,37.7,30.0,0,0,0,1,0,0,0,0,0,9,0.3333333333333333,0.016574585635359115,0.5,0.001386001386001386
1115,37.9,25.311475409836067,0,0,0,1,0,0,0,0,0,10,0.25,0.022099447513812154,0.25,0.002772002772002772
1134,37.17,25.311475409836067,0,0,0,1,0,0,0,0,0,10,0.25,0.022099447513812154,0.20000000000000004,0.003465003465003465
1146,74.18,29.0,0,0,0,0,1,0,0,0,0,10,0.14285714285714285,0.038674033149171276,0.05555555555555555,0.012474012474012475
1149,49.0,27.0,1,0,0,0,0,0,0,1,0,10,1.0,0.0055248618784530384,0.125,0.005544005544005544
1152,43.65,30.0,0,0,0,1,0,0,0,0,0,10,0.3333333333333333,0.016574585635359115,0.3333333333333333,0.002079002079002079
1158,46.97,30.0,0,0,0,0,0,0,0,1,0,10,0.3333333333333333,0.016574585635359115,0.10000000000000003,0.00693000693000693
1161,37.49,24.0,0,0,0,1,0,0,0,0,0,10,0.3333333333333333,0.016574585635359115,0.20000000000000004,0.003465003465003465
1164,48.9,25.311475409836067,0,0,0,1,0,0,0,0,0,10,0.5,0.011049723756906077,0.02380952380952379,0.029106029106029108
1167,53.45,12.0,0,1,0,0,0,0,0,0,0,10,0.25,0.022099447513812154,0.09090909090909091,0.007623007623007623
1172,61.51,25.311475409836067,0,0,0,0,0,0,0,0,1,10,0.3333333333333333,0.016574585635359115,0.05882352941176469,0.01178101178101178
1174,66.2,12.0,0,0,0,0,0,0,0,0,1,10,0.5,0.011049723756906077,0.08333333333333336,0.008316008316008316
1191,55.74,24.0,1,0,0,0,0,0,0,1,0,10,0.5,0.011049723756906077,0.0625,0.011088011088011088
